,balls,bikes,blocks,books,coals,dolls,gloves,horses,trains,expected_weight
0,6,0,0,3,1,0,2,0,4,1.4885507836
1,5,0,1,5,2,0,2,0,1,2.36312066417
2,0,0,0,6,1,1,5,1,5,0.0909804535742
3,4,0,0,5,0,0,7,0,4,2.34377924403
4,8,1,1,7,2,0,4,0,0,0.0861602088316
5,3,1,1,3,1,3,7,2,0,0.0970714005581
6,4,0,0,2,2,1,1,0,3,1.77069117742
7,1,0,0,5,1,0,3,4,2,2.0904257834
8,0,0,0,4,3,0,1,0,5,0.0495086985915
9,2,0,2,5,2,0,3,0,1,1.05008598393
10,1,0,0,9,1,0,5,4,1,1.80371395832
11,10,0,1,1,1,0,5,0,1,4.15388171067
12,6,0,1,3,3,0,3,0,3,0.0
13,4,0,0,4,1,0,5,0,3,3.23535644852
14,9,0,0,6,2,0,10,3,2,0.0
15,7,0,0,4,0,0,3,0,3,11.3170293476
16,1,0,0,1,1,3,0,2,1,11.9574841165
17,5,2,0,3,0,2,2,3,0,0.374195076375
18,4,2,0,3,2,1,8,0,3,0.0
19,4,0,0,5,2,0,7,0,4,0.0
20,7,0,0,3,0,0,1,4,3,0.699272812401
21,0,0,0,1,5,3,6,5,1,0.0
22,5,1,0,2,0,0,0,1,1,20.8776793059
23,3,1,0,4,2,0,2,0,2,0.765550867949
24,4,1,0,1,1,0,2,0,4,0.491388277874
25,4,1,1,1,1,0,2,2,2,0.319069498381
26,7,0,0,5,3,0,4,3,2,0.0
27,9,1,0,4,1,0,1,1,2,0.374837206202
28,9,1,0,3,0,0,4,1,1,3.69628196997
29,4,0,1,1,1,0,6,0,4,0.194196388784
30,5,0,0,4,1,0,8,4,1,1.06802090642
31,4,0,1,3,1,0,2,1,2,3.12751022657
32,9,1,0,6,1,0,2,1,1,0.92259555492
33,3,1,0,2,1,0,5,4,3,0.0935619885123
34,4,2,0,4,0,0,3,2,1,1.16697356833
35,3,0,0,4,1,0,0,0,5,0.888123933814
36,2,1,1,3,2,0,5,0,1,0.354993328216
37,5,0,0,5,1,0,2,1,2,6.74863673094
38,3,0,1,2,0,1,2,0,2,21.8425629046
39,6,0,0,3,1,0,1,1,3,3.1704981754
40,1,0,0,3,0,0,4,4,3,3.72072016808
41,3,0,0,2,0,0,7,1,5,1.23326184008
42,3,0,1,4,3,0,3,1,3,0.0
43,7,1,0,5,3,0,4,0,1,0.0810147587584
44,5,0,1,1,0,1,4,5,0,3.72794851986
45,1,1,1,5,2,0,0,0,0,2.48741604836
46,4,0,1,3,0,0,2,1,4,0.966568782998
47,9,0,0,10,2,0,2,2,1,0.323053317991
48,3,0,0,2,1,0,2,7,2,0.0977436306163
49,0,0,0,2,1,0,2,2,3,6.85404359183
50,3,2,1,3,1,0,0,1,0,0.790107034834
51,6,1,0,7,0,0,0,3,1,1.90052124236
52,1,3,0,3,0,0,1,2,2,0.236512615694
53,1,0,0,5,3,0,1,0,3,0.587348644245
54,6,0,0,3,0,0,6,2,2,10.4370914196
55,4,2,0,7,4,0,2,2,1,0.0
56,10,1,0,3,0,0,3,0,2,2.17753545074
57,4,1,1,2,0,0,0,0,3,1.72131345371
58,3,0,2,7,0,0,4,0,2,1.45257359618
